season,_id,_rank,_draftsSelectedIn,_averagePick,_draftSelPct,_minPick,_maxPick
2016,9988,1,6533,1.2,100,1,10
2016,11679,2,6533,2.73,100,1,11
2016,10271,3,6530,3.07,99,1,21
2016,12150,4,6514,6.02,99,1,211
2016,11232,5,6529,6.41,99,1,206
2016,12171,6,6514,7.26,99,1,153
2016,10261,7,6518,7.3,99,2,40
2016,12625,8,6533,8.21,100,1,11
2016,11192,9,6531,10.99,99,1,39
2016,9823,10,6532,11.44,100,2,49
2016,11678,11,6514,11.79,99,2,202
2016,9902,12,6517,12.51,99,1,205
2016,8658,13,6509,12.9,99,1,211
2016,10708,14,6529,13.26,99,1,64
2016,11222,15,6495,16.71,99,4,241
2016,11671,16,6515,18.34,99,1,58
2016,11660,17,6527,18.57,99,2,143
2016,9118,18,6528,19.33,99,3,208
2016,8360,19,6515,20.74,99,4,203
2016,10722,20,6517,20.9,99,7,182
2016,12175,21,6527,21.35,99,2,71
2016,9054,22,6511,22.14,99,2,334
2016,11674,23,6517,23.45,99,9,259
2016,10729,24,6516,26.22,99,9,105
2016,10276,25,6517,26.44,99,7,101
2016,11201,26,6506,28.15,99,3,200
2016,9884,27,6519,28.65,99,3,216
2016,11670,28,6515,28.83,99,4,185
2016,11680,29,6531,30.79,99,3,84
2016,10709,30,6516,31.24,99,5,172
2016,9448,31,6517,31.46,99,4,124
2016,10308,32,6529,33.3,99,7,103
2016,10273,33,6473,34.89,99,1,125
2016,11248,34,6513,37.47,99,9,155
2016,11454,35,6510,38.8,99,6,244
2016,9662,36,6530,39.01,99,4,135
2016,9831,37,6529,39.33,99,17,175
2016,11673,38,6517,39.72,99,6,182
2016,9436,39,6529,40.25,99,7,147
2016,11677,40,6515,42.81,99,17,197
2016,11657,41,6517,43.36,99,9,125
2016,7836,42,6491,43.57,99,1,190
2016,12169,43,6531,44.78,99,6,147
2016,9122,44,6517,45.02,99,1,204
2016,10527,45,6529,46.37,99,6,183
2016,11390,46,6532,48.23,100,13,179
2016,9881,47,6504,49.9,99,9,296
2016,8687,48,6515,51.25,99,10,134
2016,10721,49,6526,51.3,99,25,243
2016,11676,50,6503,53.87,99,22,213
2016,7393,51,6512,54.69,99,13,202
2016,10302,52,6517,55.56,99,4,166
2016,10695,53,6476,57.05,99,1,106
2016,10703,54,6487,58.33,99,1,140
2016,12157,55,6510,61.14,99,22,228
2016,9918,56,6511,63.17,99,13,240
2016,9693,57,6494,63.7,99,21,312
2016,11783,58,6507,63.94,99,16,234
2016,11193,59,6509,64.54,99,17,261
2016,11244,60,6523,64.78,99,10,155
2016,12156,61,6511,65.08,99,19,282
2016,11654,62,6514,65.65,99,10,177
2016,12187,63,6511,65.86,99,16,262
2016,12176,64,6496,66.35,99,16,286
2016,11925,65,6507,67.46,99,14,208
2016,12162,66,6503,68.74,99,7,280
2016,10389,67,5705,68.8,87,19,343
2016,9851,68,6508,69.13,99,6,293
2016,4925,69,6475,71.25,99,2,218
2016,9101,70,6516,73.1,99,14,235
2016,10738,71,6513,73.34,99,22,351
2016,9427,72,6516,73.91,99,14,268
2016,10743,73,6500,74.51,99,22,371
2016,12151,74,6513,74.8,99,11,207
2016,8416,75,6507,75.27,99,19,257
2016,12177,76,6471,76.33,99,10,294
2016,9075,77,6507,78.84,99,16,275
2016,7401,78,6488,80.72,99,5,213
2016,7877,79,6506,80.92,99,22,295
2016,12658,80,6505,83.04,99,17,336
2016,12155,81,6500,84.4,99,18,260
2016,12646,82,6435,87.87,98,10,289
2016,5848,83,6485,87.99,99,1,250
2016,11250,84,6469,88.84,99,20,288
2016,9690,85,6481,91.25,99,21,404
2016,11951,86,6475,93.83,99,44,339
2016,12153,87,6496,93.9,99,26,308
2016,11656,88,6439,94.35,98,49,329
2016,11247,89,6463,94.8,98,37,262
2016,12154,90,6458,95.93,98,11,399
2016,12186,91,6481,96.59,99,23,281
2016,6929,92,6468,96.68,99,2,340
2016,9189,93,6480,97.15,99,30,335
2016,8268,94,6519,97.9,99,4,424
2016,9680,95,6504,99.68,99,23,457
2016,11642,96,6473,100.44,99,1,210
2016,10372,97,6468,100.7,99,27,315
2016,11213,98,6475,100.93,99,25,282
2016,12626,99,6502,101.19,99,15,389
2016,10077,100,6490,101.94,99,22,329
2016,10960,101,6336,102.43,96,24,421
2016,10289,102,6390,102.47,97,47,343
2016,11188,103,6395,107.11,97,34,451
2016,7391,104,6483,107.19,99,12,307
2016,10737,105,6420,109.04,98,27,302
2016,9278,106,6389,109.29,97,46,411
2016,7236,107,6452,111.23,98,24,406
2016,7394,108,6468,112.07,99,16,307
2016,11229,109,6394,112.61,97,38,354
2016,12645,110,6162,113.05,94,13,371
2016,12652,111,6354,114.45,97,11,337
2016,10651,112,6296,117.79,96,50,380
2016,11668,113,6432,118.8,98,45,338
2016,10742,114,6402,119.23,98,40,295
2016,7873,115,6404,119.65,98,42,419
2016,10744,116,4903,119.72,75,35,340
2016,12205,117,6402,119.85,98,38,498
2016,9044,118,6449,121.84,98,20,330
2016,8359,119,2154,122.9,32,21,631
2016,12152,120,6379,123.01,97,13,474
2016,12140,121,6452,125.37,98,4,255
2016,10700,122,6465,126.01,98,2,293
2016,11695,123,6271,127.1,96,45,305
2016,12180,124,5823,127.35,89,25,330
2016,511,125,6171,129.44,94,10,293
2016,9925,126,6479,130.61,99,26,299
2016,9898,127,6428,130.67,98,7,502
2016,10369,128,6299,131.25,96,61,570
2016,9431,129,6467,131.72,99,1,340
2016,12178,130,5926,133.08,90,45,420
2016,10723,131,6265,134.38,95,35,440
2016,12188,132,6025,134.4,92,59,478
2016,519,133,6168,134.69,94,25,280
2016,10413,134,6433,135.42,98,17,338
2016,6997,135,6401,135.59,97,10,422
2016,4974,136,6227,136.53,95,42,473
2016,12141,137,6391,139.33,97,7,320
2016,515,138,6181,140.54,94,10,246
2016,12627,139,5451,140.77,83,48,414
2016,9611,140,6198,142.77,94,48,404
2016,10313,141,6402,143.15,98,13,320
2016,12857,142,6099,145.02,93,11,460
2016,12629,143,6286,145.49,96,21,302
2016,12632,144,5610,145.93,85,34,392
2016,10903,145,6007,147.8,91,59,488
2016,11761,146,5986,148.36,91,30,380
2016,9099,147,6355,148.38,97,5,439
2016,11179,148,3867,149.61,59,47,520
2016,12648,149,5432,149.91,83,25,374
2016,527,150,6166,150.04,94,28,292
2016,10303,151,5504,150.31,84,40,496
2016,12650,152,6040,151.91,92,45,413
2016,7260,153,5364,153.1,82,25,480
2016,7942,154,6206,153.15,95,54,517
2016,12647,155,6070,153.37,92,35,464
2016,10983,156,5846,154.23,89,36,427
2016,9319,157,2140,155.28,32,30,661
2016,10697,158,5991,155.87,91,9,384
2016,11747,159,4012,157.02,61,34,591
2016,12160,160,3605,157.35,55,50,399
2016,9525,161,5686,159.18,87,66,490
2016,532,162,6178,159.51,94,6,256
2016,10409,163,5810,159.74,88,33,404
2016,9694,164,2116,160,32,46,628
2016,12657,165,4196,160.98,64,45,482
2016,11697,166,5460,161.76,83,61,384
2016,512,167,6180,161.99,94,29,245
2016,11199,168,5410,162.88,82,13,606
2016,10976,169,2123,163.09,32,38,672
2016,9250,170,5626,163.8,86,51,503
2016,9474,171,6038,164.73,92,37,473
2016,9987,172,5973,166.1,91,58,454
2016,12634,173,5206,166.32,79,12,468
2016,12210,174,5281,167.02,80,74,492
2016,12159,175,5146,167.54,78,61,456
2016,12197,176,5043,168.07,77,39,386
2016,8062,177,5765,169.02,88,35,636
2016,9064,178,5155,169.11,78,40,465
2016,10506,179,2072,169.61,31,23,633
2016,524,180,6141,170.6,94,32,319
2016,8742,181,2018,172.55,30,44,640
2016,11960,182,2105,173.96,32,60,650
2016,12620,183,2520,174.29,38,3,618
2016,8252,184,4900,174.84,75,51,536
2016,11211,185,4883,175.21,74,57,393
2016,7813,186,4864,175.81,74,18,505
2016,528,187,6104,176.28,93,33,295
2016,11689,188,3598,176.49,55,86,508
2016,8673,189,5347,177.35,81,53,563
2016,10352,190,4903,177.46,75,72,468
2016,11257,191,4943,177.49,75,60,530
2016,12181,192,4456,179.68,68,69,469
2016,10870,193,4332,180.12,66,2,614
2016,10702,194,5254,180.5,80,32,378
2016,10312,195,5201,181.19,79,52,451
2016,11947,196,1809,181.33,27,74,662
2016,11936,197,1743,181.66,26,32,637
2016,504,198,5962,181.68,91,23,312
2016,10720,199,3626,181.89,55,83,483
2016,506,200,5991,181.92,91,70,310
