season,_id,_rank,_draftsSelectedIn,_averagePick,_draftSelPct,_minPick,_maxPick
2019,13130,1,3635,1.32,95,1,10
2019,13128,2,3663,2.84,96,1,11
2019,13132,3,3659,4.15,95,1,11
2019,12626,4,3699,5.21,97,1,40
2019,12625,5,3708,8.91,97,1,57
2019,11675,6,3642,9.42,95,1,48
2019,11244,7,3739,10.51,98,1,50
2019,12801,8,3678,10.74,96,1,39
2019,13319,9,3703,11.24,97,1,86
2019,13604,10,3677,11.53,96,1,63
2019,13610,11,3743,12.03,98,1,116
2019,14802,12,3690,12.9,96,1,70
2019,13404,13,3724,14.6,97,1,69
2019,12186,14,3659,15.16,95,1,80
2019,13116,15,3619,16.34,94,1,96
2019,11232,16,3728,19.84,97,2,111
2019,14102,17,3687,19.86,96,1,135
2019,15254,18,3740,20.01,98,1,470
2019,13629,19,3710,20.54,97,4,132
2019,14852,20,3725,22.69,97,2,137
2019,13131,21,3717,23.14,97,1,151
2019,12263,22,3726,23.71,97,2,162
2019,14803,23,3724,26.22,97,4,143
2019,14836,24,3711,26.31,97,2,198
2019,13589,25,3622,26.91,94,1,198
2019,14104,26,3735,28.5,97,1,157
2019,11222,27,3651,28.74,95,1,114
2019,13299,28,3728,29.41,97,1,103
2019,13364,29,3738,35.64,98,6,150
2019,14056,30,3667,35.77,96,1,107
2019,13593,31,3672,36.13,96,1,143
2019,14071,32,3695,36.19,96,4,139
2019,14109,33,3737,36.68,98,8,150
2019,11678,34,3758,37.35,98,4,136
2019,11671,35,3718,37.65,97,1,102
2019,14832,36,3720,37.86,97,2,123
2019,14079,37,3551,39.31,93,5,155
2019,14073,38,3716,39.77,97,4,140
2019,14797,39,3640,40.36,95,2,223
2019,13163,40,3737,42.16,98,10,137
2019,14800,41,2006,42.73,52,5,260
2019,11228,42,3754,44.12,98,13,154
2019,12175,43,3755,48,98,7,159
2019,10703,44,3685,48.33,96,2,162
2019,15329,45,3704,48.96,97,1,471
2019,10271,46,3726,49.38,97,5,225
2019,14081,47,3506,49.46,91,5,172
2019,14813,48,3666,49.68,96,4,266
2019,12620,49,3682,49.71,96,2,173
2019,7836,50,3687,50.47,96,1,160
2019,11938,51,3736,52.12,97,6,205
2019,13635,52,3718,53.02,97,14,172
2019,13164,53,3760,54.73,98,7,161
2019,14779,54,3687,55.15,96,2,212
2019,13671,55,3736,55.16,97,11,220
2019,14208,56,3706,56.26,97,19,180
2019,12187,57,3750,56.78,98,15,173
2019,12164,58,3684,59.87,96,14,272
2019,13138,59,3610,60.57,94,6,228
2019,14138,60,3664,60.71,96,8,216
2019,13726,61,3540,60.99,92,13,232
2019,15281,62,3686,66.24,96,5,469
2019,14840,63,3694,66.39,96,17,253
2019,15256,64,3713,68,97,8,473
2019,5848,65,3683,68.22,96,2,258
2019,14835,66,3715,69.43,97,22,238
2019,12447,67,3728,70.37,97,6,295
2019,12652,68,3510,70.86,92,8,246
2019,15253,69,1549,70.95,40,10,472
2019,13156,70,3671,71.08,96,14,201
2019,11679,71,3718,73.77,97,15,189
2019,14087,72,3693,75.35,96,16,339
2019,14075,73,3719,76.38,97,11,319
2019,14841,74,3708,77.15,97,18,282
2019,14833,75,3703,79.24,97,25,246
2019,10697,76,3678,79.53,96,4,217
2019,13277,77,3606,79.85,94,32,217
2019,13630,78,3685,80.39,96,30,258
2019,12151,79,3684,81.42,96,10,222
2019,11647,80,3632,82.67,95,22,317
2019,9431,81,3692,83.02,96,6,210
2019,13129,82,3449,84.28,90,5,243
2019,15257,83,3685,84.43,96,12,478
2019,12650,84,3621,84.85,94,10,251
2019,11674,85,3602,86.14,94,20,235
2019,12930,86,3692,86.47,96,24,245
2019,14783,87,3655,86.72,95,6,241
2019,13850,88,3647,91.32,95,9,358
2019,14136,89,3706,92.36,97,14,339
2019,13606,90,3680,94.13,96,10,243
2019,13427,91,3580,94.85,93,13,345
2019,15282,92,3664,95.39,96,17,475
2019,14137,93,3508,97.1,92,23,282
2019,13674,94,3444,97.1,90,23,258
2019,13668,95,3576,97.77,93,31,272
2019,11680,96,3642,98.2,95,31,300
2019,14777,97,3630,100.06,95,5,265
2019,14838,98,3621,101.4,94,29,300
2019,15258,99,3462,102.31,90,19,488
2019,13153,100,3693,104.3,96,12,307
2019,9988,101,3670,106.51,96,3,457
2019,13672,102,3475,107.03,91,27,310
2019,13146,103,3670,109.41,96,21,334
2019,12678,104,3520,111.11,92,38,281
2019,15237,105,3505,114.19,91,1,479
2019,14798,106,3535,114.21,92,15,311
2019,528,107,2757,114.34,72,12,238
2019,14805,108,3548,114.66,93,27,341
2019,15284,109,3488,114.74,91,24,474
2019,14080,110,3692,116.43,96,16,279
2019,9099,111,3510,117.06,92,9,325
2019,13646,112,3549,117.53,93,29,316
2019,14834,113,3633,118.16,95,25,315
2019,14842,114,3560,118.21,93,32,289
2019,10973,115,3494,119.62,91,21,561
2019,13590,116,3302,121.95,86,11,299
2019,10700,117,3299,122.47,86,16,325
2019,12647,118,3487,122.5,91,38,347
2019,12630,119,3581,122.7,93,28,422
2019,13157,120,3385,123.17,88,39,362
2019,13809,121,3406,124.8,89,21,364
2019,15240,122,3070,125.32,80,9,480
2019,13139,123,3534,125.47,92,38,416
2019,13193,124,3381,126.8,88,21,362
2019,15238,125,3224,127.52,84,4,490
2019,14141,126,1996,127.93,52,26,315
2019,13154,127,3396,128.24,89,33,374
2019,14105,128,3538,128.3,92,35,332
2019,10738,129,3469,128.7,90,28,433
2019,12171,130,3318,129.89,87,22,434
2019,510,131,2773,131.01,72,31,271
2019,15034,132,2915,131.09,76,28,647
