X,coach,team,season
740,Kliff Kingsbury,ARI,2021
741,Arthur Smith,ATL,2021
742,John Harbaugh,BAL,2021
743,Sean McDermott,BUF,2021
744,Matt Rhule,CAR,2021
745,Matt Nagy,CHI,2021
746,Zac Taylor,CIN,2021
747,Kevin Stefanski,CLE,2021
748,Mike McCarthy,DAL,2021
749,Vic Fangio,DEN,2021
750,Dan Campbell,DET,2021
751,Matt LaFleur,GB,2021
752,David Culley,HOU,2021
753,Frank Reich,IND,2021
754,Urban Meyer,JAX,2021
755,Darrell Bevell,JAX,2021
756,Andy Reid,KC,2021
757,Sean McVay,LA,2021
758,Brandon Staley,LAC,2021
759,Jon Gruden,LV,2021
760,Rich Bisaccia,LV,2021
761,Brian Flores,MIA,2021
762,Mike Zimmer,MIN,2021
763,Bill Belichick,NE,2021
764,Sean Payton,NO,2021
765,Joe Judge,NYG,2021
766,Robert Salah,NYJ,2021
767,Nick Sirianni,PHI,2021
768,Mike Tomlin,PIT,2021
769,Pete Carroll,SEA,2021
770,Kyle Shanahan,SF,2021
771,Bruce Arians,TB,2021
772,Mike Vrabel,TEN,2021
773,Ron Rivera,WAS,2021
