season,minPick,maxPick,draftsSelectedIn,id,averagePick,rank,draftSelPct
2022,1,11,700,14802,1.92,1,97
2022,1,15,700,13164,5.61,2,97
2022,1,38,714,13130,5.96,3,99
2022,1,46,717,14836,7.09,4,100
2022,1,56,690,13404,8.83,5,96
2022,1,47,713,15281,9.63,6,99
2022,1,37,713,15254,10.38,7,99
2022,1,82,699,12626,11.05,8,97
2022,1,59,702,13128,13.13,9,98
2022,2,52,698,11675,16.33,10,97
2022,1,54,687,13589,16.52,11,96
2022,2,56,717,13131,16.53,12,100
2022,1,69,718,11244,16.98,13,100
2022,5,91,720,14797,18.06,14,100
2022,6,55,721,12186,19.63,15,100
2022,4,61,718,14832,20.17,16,100
2022,4,57,716,14136,22.03,17,100
2022,1,54,715,13671,22.4,18,100
2022,1,76,692,13610,22.88,19,96
2022,5,100,702,13604,24.39,20,98
2022,3,73,712,15256,25.22,21,99
2022,1,74,698,13116,27.27,22,97
2022,4,79,711,13132,27.45,23,99
2022,1,118,718,13319,27.53,24,100
2022,7,62,715,12801,28.2,25,100
2022,1,77,705,14779,28.78,26,98
2022,2,163,714,15329,30.84,27,99
2022,10,120,699,13129,33.32,28,97
2022,12,102,721,11671,33.68,29,100
2022,8,82,717,14104,34.05,30,100
2022,9,130,717,14835,37.07,31,100
2022,13,104,716,11222,37.22,32,100
2022,13,100,719,14842,39.2,33,100
2022,1,107,698,13593,39.46,34,97
2022,10,84,702,14799,39.54,35,98
2022,4,136,697,12625,39.86,36,97
2022,9,115,707,13146,41.92,37,98
2022,13,149,716,15253,42.62,38,100
2022,11,120,678,14071,44.25,39,94
2022,12,83,707,15284,44.39,40,98
2022,2,108,687,14056,44.96,41,96
2022,5,638,714,15708,45.91,42,99
2022,12,144,715,13635,45.97,43,100
2022,1,149,687,14777,46.33,44,96
2022,5,152,709,12263,48.01,45,99
2022,7,118,710,13299,48.35,46,99
2022,11,127,711,14208,49.21,47,99
2022,20,143,713,14109,50.96,48,99
2022,14,118,708,14102,52.01,49,99
2022,6,163,700,14783,54.48,50,97
2022,14,158,673,14852,54.93,51,94
2022,17,113,698,14073,55.69,52,97
2022,14,116,709,14800,55.71,53,99
2022,20,173,710,13154,55.92,54,99
2022,2,142,671,12620,60.65,55,93
2022,28,248,713,13630,60.68,56,99
2022,1,167,676,10703,61.34,57,94
2022,26,179,691,11674,63.72,58,96
2022,21,174,703,15263,64.13,59,98
2022,26,135,691,13163,64.37,60,96
2022,25,166,704,11678,64.92,61,98
2022,16,143,684,13772,65.13,62,95
2022,28,200,699,14105,65.91,63,97
2022,20,194,665,12175,67.66,64,93
2022,25,173,696,13156,68.43,65,97
2022,4,283,664,5848,68.54,66,92
2022,23,221,696,14805,69.18,67,97
2022,14,193,678,15287,70.36,68,94
2022,26,133,680,14974,70.94,69,95
2022,19,176,697,14833,71.23,70,97
2022,2,248,658,7836,71.27,71,92
2022,14,203,686,12652,72.17,72,95
2022,18,223,671,11938,72.93,73,93
2022,22,172,669,14138,73.69,74,93
2022,25,275,696,15293,74.94,75,97
2022,31,240,697,14845,76.03,76,97
2022,6,250,659,9431,77.03,77,92
2022,21,187,672,14803,77.06,78,93
2022,7,277,675,15240,77.28,79,94
2022,29,191,663,13674,80.3,80,92
2022,36,216,671,14079,83.43,81,93
2022,26,186,667,14075,85.24,82,93
2022,10,253,660,11644,85.45,83,92
2022,15,639,667,15711,86.18,84,93
2022,41,200,679,15288,86.3,85,94
2022,16,211,659,14080,86.76,86,92
2022,31,182,677,14123,88.45,87,94
2022,20,637,663,15751,90.92,88,92
2022,32,231,680,14085,91.93,89,95
2022,30,283,660,15282,92.6,90,92
2022,26,303,673,11232,93.89,91,94
2022,15,266,629,10700,93.93,92,87
2022,36,239,667,13138,95.24,93,93
2022,15,243,678,13632,95.93,94,94
2022,27,238,668,11225,96.62,95,93
2022,35,250,665,13726,99,96,93
2022,37,272,661,13608,99.36,97,92
2022,34,237,668,14840,100.4,98,93
2022,29,268,650,11247,101.39,99,90
2022,26,205,629,12187,102.6,100,87
2022,44,232,658,13633,102.92,101,92
2022,29,214,645,14143,104.39,102,90
2022,10,296,622,14778,105.17,103,86
2022,14,300,562,15237,105.38,104,78
2022,45,306,664,15259,108.02,105,92
2022,24,643,627,15752,109.12,106,87
2022,11,644,653,15715,110.72,107,91
2022,18,256,586,15238,110.89,108,81
2022,47,339,653,11228,112.56,109,91
2022,17,347,453,15241,112.73,110,63
2022,43,263,642,14841,114.29,111,89
2022,43,258,608,13672,114.36,112,85
2022,45,248,624,15331,114.95,113,87
2022,32,641,644,15754,115.03,114,90
2022,42,269,647,12151,115.11,115,90
2022,5,301,517,13113,117.35,116,72
2022,61,337,651,15289,117.48,117,91
2022,20,355,533,9099,120.19,118,74
2022,28,642,596,15753,122.23,119,83
2022,25,338,367,15239,124.34,120,51
2022,51,647,634,15766,125.2,121,88
2022,25,457,464,10697,126.37,122,64
2022,45,651,656,15717,127.12,123,91
2022,38,331,607,14813,128.49,124,84
2022,47,335,624,14867,128.6,125,87
2022,12,315,546,12140,130.12,126,76
2022,47,369,593,13809,130.71,127,82
2022,42,214,302,501,131.43,128,42
2022,79,375,613,14223,131.89,129,85
2022,57,325,597,13646,133.56,130,83
2022,26,327,614,15258,133.65,131,85
2022,31,317,589,13668,135.62,132,82
2022,55,312,566,14137,137.99,133,79
2022,52,366,600,12176,138.11,134,83
2022,37,654,607,15709,139.23,135,84
2022,41,640,566,15789,140.37,136,79
2022,57,323,607,12650,140.67,137,84
2022,22,471,361,12610,140.85,138,50
2022,68,655,590,15721,141.17,139,82
2022,15,441,397,14059,142.67,140,55
