Rank,full_name,Position,Position Rank,Team,ADP,Change
1,Jonathan Taylor,RB,1,IND,1.3,0
2,Christian McCaffrey,RB,2,CAR,2.2,0
3,Cooper Kupp,WR,1,LA,3.2,0
4,Derrick Henry,RB,3,TEN,4.5,0
5,Ja'Marr Chase,WR,2,CIN,5.8,0
6,Austin Ekeler,RB,4,LAC,6.5,0
7,Justin Jefferson,WR,3,MIN,6.9,0
8,Najee Harris,RB,5,PIT,8.3,0
9,Davante Adams,WR,4,GB,9.2,0
10,Tyreek Hill,WR,5,KC,9.3,0
11,Dalvin Cook,RB,6,MIN,11.1,0
12,Deebo Samuel,WR,6,SF,12.8,0
13,Javonte Williams,RB,7,DEN,14.1,0
14,Travis Kelce,TE,1,KC,14.7,0
15,Stefon Diggs,WR,7,BUF,14.9,0
16,Joe Mixon,RB,8,CIN,15.2,0
17,A.J. Brown,WR,8,TEN,17.3,0
18,Alvin Kamara,RB,9,NO,18.9,0
19,D'Andre Swift,RB,10,DET,19.2,0
20,CeeDee Lamb,WR,9,DAL,20.7,0
21,Nick Chubb,RB,11,CLE,21.4,0
22,Mark Andrews,TE,2,BAL,22.8,0
23,Jaylen Waddle,WR,10,MIA,23.4,0
24,DK Metcalf,WR,11,SEA,23.8,0
25,Josh Allen,QB,1,BUF,24.8,0
26,Saquon Barkley,RB,12,NYG,25.8,0
27,Tee Higgins,WR,12,CIN,26.8,0
28,Kyle Pitts,TE,3,ATL,28.1,0
29,Antonio Gibson,RB,13,WAS,28.8,0
30,DeAndre Hopkins,WR,13,ARI,30.3,0
31,Keenan Allen,WR,14,LAC,31.1,0
32,Patrick Mahomes,QB,2,KC,33,0
33,Cam Akers,RB,14,LA,33.3,0
34,Darren Waller,TE,4,LV,33.6,0
35,Diontae Johnson,WR,15,PIT,34.7,0
36,DJ Moore,WR,16,CAR,37.3,0
37,Terry McLaurin,WR,17,WAS,38.1,0
38,George Kittle,TE,5,SF,38.5,0
39,Calvin Ridley,WR,18,ATL,40.6,0
40,Mike Evans,WR,19,TB,40.7,0
41,Aaron Jones,RB,15,GB,40.8,0
42,David Montgomery,RB,16,CHI,41.9,0
43,J.K. Dobbins,RB,17,BAL,44.2,0
44,Justin Herbert,QB,3,LAC,44.5,0
45,Elijah Moore,WR,20,NYJ,46.2,0
46,Tyler Lockett,WR,21,SEA,46.5,0
47,Ezekiel Elliott,RB,18,DAL,46.7,0
