RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV
1,1,Jonathan Taylor,IND,RB1,1,2,1.2,0.4
2,1,Derrick Henry,TEN,RB2,2,6,3,1.4
3,1,Austin Ekeler,LAC,RB3,2,7,3.3,1.7
4,2,Dalvin Cook,MIN,RB4,3,7,5.3,1.4
5,2,Christian McCaffrey,CAR,RB5,2,8,5.7,2.1
6,2,Cooper Kupp,LAR,WR1,5,11,6,2.2
7,2,Najee Harris,PIT,RB6,4,10,7.3,1.8
8,2,Justin Jefferson,MIN,WR2,5,11,9,2
9,3,Davante Adams,LV,WR3,9,13,11.2,1.7
10,3,Joe Mixon,CIN,RB7,8,22,11.7,4.7
11,3,Tyreek Hill,KC,WR4,11,12,11.7,0.5
12,3,Cam Akers,LAR,RB8,4,27,12,9.3
13,3,Ja'Marr Chase,CIN,WR5,9,13,12,1.4
14,3,Stefon Diggs,BUF,WR6,13,15,14.7,0.8
15,3,Javonte Williams,DEN,RB9,7,22,15.3,5.5
16,3,D'Andre Swift,DET,RB10,14,20,17,3
17,3,Travis Kelce,KC,TE1,17,18,17.2,0.4
18,3,Alvin Kamara,NO,RB11,8,27,17.8,6.7
19,4,Mark Andrews,BAL,TE2,18,26,19.3,3
20,4,Deebo Samuel,SF,WR7,16,25,21.3,4
21,4,A.J. Brown,TEN,WR8,16,29,21.8,4.7
22,4,Josh Allen,BUF,QB1,19,38,22.2,7.1
23,4,Nick Chubb,CLE,RB12,20,28,23,2.5
24,4,CeeDee Lamb,DAL,WR9,21,25,23.2,1.6
25,4,Jaylen Waddle,MIA,WR10,21,29,24.3,2.4
26,4,Antonio Gibson,WAS,RB13,23,27,25,2
27,4,Keenan Allen,LAC,WR11,21,32,26,4.2
28,4,Kyle Pitts,ATL,TE3,18,46,27.8,8.6
29,5,David Montgomery,CHI,RB14,30,34,31.3,1.3
30,5,Saquon Barkley,NYG,RB15,27,44,31.8,6.5
31,5,Diontae Johnson,PIT,WR12,29,35,31.8,2.3
32,5,Mike Evans,TB,WR13,29,37,32.3,3.1
33,5,Tee Higgins,CIN,WR14,32,37,34.2,1.7
34,5,DeAndre Hopkins,ARI,WR15,32,39,36,2.5
35,5,Aaron Jones,GB,RB16,31,44,36.5,4.8
36,5,D.K. Metcalf,SEA,WR16,30,50,37.7,8.4
37,5,DJ Moore,CAR,WR17,36,41,37.8,1.8
38,5,Chris Godwin,TB,WR18,33,65,39.5,11.5
39,5,Patrick Mahomes II,KC,QB2,38,54,40.7,6
40,5,Josh Jacobs,LV,RB17,40,44,42.2,1.5
41,6,George Kittle,SF,TE4,26,53,43.3,8.3
42,6,Michael Pittman Jr.,IND,WR19,43,49,44.8,2.2
43,6,Terry McLaurin,WAS,WR20,39,48,45,3
44,6,James Conner,ARI,RB18,28,71,45.8,15.7
45,6,Ezekiel Elliott,DAL,RB19,33,66,46,11.5
46,6,Elijah Mitchell,SF,RB20,40,52,46.2,5.5
47,6,Leonard Fournette,TB,RB21,42,51,47.7,3.6
48,6,Jerry Jeudy,DEN,WR21,37,62,50.7,9.4
49,6,Darren Waller,LV,TE5,46,53,51.3,2.6
50,6,Amari Cooper,CLE,WR22,41,62,51.7,7.6
51,6,Brandin Cooks,HOU,WR23,41,73,52.8,10.9
52,6,Hunter Renfrow,LV,WR24,49,62,52.8,5.2
53,6,Elijah Moore,NYJ,WR25,49,58,52.8,3.3
54,6,Amon-Ra St. Brown,DET,WR26,45,72,55.7,10.5
55,6,AJ Dillon,GB,RB22,52,60,56.2,3.1
56,6,Justin Herbert,LAC,QB3,54,61,56.7,3.1
57,6,J.K. Dobbins,BAL,RB23,47,66,57.7,6.4
58,7,Tyler Lockett,SEA,WR27,43,67,58.3,8.7
59,7,Michael Carter,NYJ,RB24,51,76,59.8,8.8
60,7,Lamar Jackson,BAL,QB4,54,68,60.5,5.7
61,7,Kyler Murray,ARI,QB5,56,68,60.5,4
62,7,Allen Robinson II,LAR,WR28,48,73,62,9.8
63,7,Damien Harris,NE,RB25,48,80,63.5,10.3
64,7,Darnell Mooney,CHI,WR29,50,73,63.8,6.8
65,7,T.J. Hockenson,DET,TE6,63,69,65,2.8
66,7,Miles Sanders,PHI,RB26,60,84,66.8,8.7
67,7,Courtland Sutton,DEN,WR30,43,88,67.3,15.6
68,7,Joe Burrow,CIN,QB6,56,77,67.8,7.7
69,7,Adam Thielen,MIN,WR31,58,82,68.2,7.6
70,7,Devin Singletary,BUF,RB27,52,93,69.7,12.9
71,7,DeVonta Smith,PHI,WR32,64,74,69.8,4.2
72,7,Dallas Goedert,PHI,TE7,69,78,70.5,3.4
73,7,Marquise Brown,BAL,WR33,67,73,71,2
74,7,Chase Edmonds,MIA,RB28,57,85,72,10.6
75,7,Clyde Edwards-Helaire,KC,RB29,59,83,72.2,7.5
76,7,Mike Williams,LAC,WR34,64,81,77.2,6.1
77,8,Travis Etienne Jr.,JAC,RB30,57,89,79,11.2
78,8,Kareem Hunt,CLE,RB31,71,85,80.5,4.7
79,8,Tom Brady,TB,QB7,68,116,81.5,18
80,8,Tony Pollard,DAL,RB32,73,89,81.5,5.4
81,8,JuJu Smith-Schuster,KC,WR35,58,101,81.7,14.8
82,8,Rashod Bateman,BAL,WR36,79,88,83.7,3.2
83,8,Robert Woods,TEN,WR37,79,96,84.7,6.3
84,8,Brandon Aiyuk,SF,WR38,67,101,85.2,13.5
85,8,Rashaad Penny,SEA,RB33,80,93,85.3,3.9
86,8,Michael Thomas,NO,WR39,81,96,87.5,5.2
87,8,Matthew Stafford,LAR,QB8,77,95,88,5.6
88,8,Gabriel Davis,BUF,WR40,75,99,90.2,8.3
89,8,Dawson Knox,BUF,TE8,78,108,92.3,14.3
90,8,Kadarius Toney,NYG,WR41,86,96,92.3,3.9
91,8,Mike Gesicki,MIA,TE9,92,94,93.3,0.9
92,8,Dak Prescott,DAL,QB9,87,103,93.7,5
