"","yearly_id","position","fantasy_pos"
"1","1999_00-0010292","FB","rusher"
"2","1999_00-0010951","FB","rusher"
"3","1999_00-0013042","QB","passer"
"4","1999_00-0006410","QB","passer"
"5","1999_00-0001907","QB","passer"
"6","1999_00-0000871","RB","rusher"
"7","1999_00-0011869","RB","rusher"
"8","1999_00-0013013","RB","rusher"
"9","1999_00-0008961","TE","receiver"
"10","1999_00-0011068","TE","receiver"
"11","1999_00-0006848","TE","receiver"
"12","1999_00-0007147","TE","receiver"
"13","1999_00-0001919","TE","receiver"
"14","1999_00-0011601","WR","receiver"
"15","1999_00-0014328","WR","receiver"
"16","1999_00-0010762","WR","receiver"
"17","1999_00-0003175","WR","receiver"
"18","1999_00-0008357","WR","receiver"
"19","1999_00-0001532","WR","receiver"
"20","1999_00-0002970","FB","rusher"
"21","1999_00-0009007","QB","passer"
"22","1999_00-0013695","QB","passer"
"23","1999_00-0006299","QB","passer"
"24","1999_00-0002876","QB","passer"
"25","1999_00-0000316","RB","rusher"
"26","1999_00-0012368","RB","rusher"
"27","1999_00-0012480","RB","rusher"
"28","1999_00-0012675","RB","rusher"
"29","1999_00-0006803","RB","rusher"
"30","1999_00-0004495","RB","rusher"
"31","1999_00-0011488","TE","receiver"
"32","1999_00-0009119","TE","receiver"
"33","1999_00-0009443","TE","receiver"
"34","1999_00-0014350","TE","receiver"
"35","1999_00-0000627","WR","receiver"
"36","1999_00-0010539","WR","receiver"
"37","1999_00-0005903","WR","receiver"
"38","1999_00-0002544","WR","receiver"
"39","1999_00-0006994","WR","receiver"
"40","1999_00-0004673","WR","receiver"
"41","1999_00-0004972","FB","rusher"
"42","1999_00-0000722","QB","passer"
"43","1999_00-0011434","QB","passer"
"44","1999_00-0002787","QB","passer"
"45","1999_00-0000552","RB","rusher"
"46","1999_00-0016931","RB","rusher"
"47","1999_00-0013622","RB","rusher"
"48","1999_00-0006208","RB","rusher"
"49","1999_00-0007661","RB","rusher"
"50","1999_00-0012317","TE","receiver"
"51","1999_00-0016993","TE","receiver"
"52","1999_00-0012971","TE","receiver"
"53","1999_00-0013308","TE","receiver"
"54","1999_00-0003310","TE","receiver"
"55","1999_00-0004172","TE","receiver"
"56","1999_00-0000422","WR","receiver"
"57","1999_00-0011932","WR","receiver"
"58","1999_00-0015754","WR","receiver"
"59","1999_00-0009869","WR","receiver"
"60","1999_00-0003944","WR","receiver"
"61","1999_00-0008059","WR","receiver"
"62","1999_00-0008598","WR","receiver"
"63","1999_00-0005822","FB","rusher"
"64","1999_00-0016838","QB","passer"
"65","1999_00-0008612","QB","passer"
"66","1999_00-0005363","QB","passer"
"67","1999_00-0016331","RB","rusher"
"68","1999_00-0009960","RB","rusher"
"69","1999_00-0015091","RB","rusher"
"70","1999_00-0006155","RB","rusher"
"71","1999_00-0002159","RB","rusher"
"72","1999_00-0013728","TE","receiver"
"73","1999_00-0003266","TE","receiver"
"74","1999_00-0008190","TE","receiver"
"75","1999_00-0011770","WR","receiver"
"76","1999_00-0010092","WR","receiver"
"77","1999_00-0013232","WR","receiver"
"78","1999_00-0017860","WR","receiver"
"79","1999_00-0013499","WR","receiver"
"80","1999_00-0010786","WR","receiver"
"81","1999_00-0005361","FB","rusher"
"82","1999_00-0001218","QB","passer"
"83","1999_00-0009868","QB","passer"
"84","1999_00-0003600","QB","passer"
"85","1999_00-0001471","QB","passer"
"86","1999_00-0001224","RB","rusher"
"87","1999_00-0009599","RB","rusher"
"88","1999_00-0007357","RB","rusher"
"89","1999_00-0008430","RB","rusher"
"90","1999_00-0009237","TE","receiver"
"91","1999_00-0017109","TE","receiver"
"92","1999_00-0010333","TE","receiver"
"93","1999_00-0000872","WR","receiver"
"94","1999_00-0011795","WR","receiver"
"95","1999_00-0016716","WR","receiver"
"96","1999_00-0011151","WR","receiver"
"97","1999_00-0002701","WR","receiver"
"98","1999_00-0007144","WR","receiver"
"99","1999_00-0008300","WR","receiver"
"100","1999_00-0002266","WR","receiver"
"101","1999_00-0006692","FB","rusher"
"102","1999_00-0010560","QB","passer"
"103","1999_00-0011044","QB","passer"
"104","1999_00-0011276","QB","passer"
"105","1999_00-0004925","QB","passer"
"106","1999_00-0001103","RB","rusher"
"107","1999_00-0000210","RB","rusher"
"108","1999_00-0011213","RB","rusher"
"109","1999_00-0004916","RB","rusher"
"110","1999_00-0000242","TE","receiver"
"111","1999_00-0017480","TE","receiver"
"112","1999_00-0010598","TE","receiver"
"113","1999_00-0000869","WR","receiver"
"114","1999_00-0013888","WR","receiver"
"115","1999_00-0014348","WR","receiver"
"116","1999_00-0003396","WR","receiver"
"117","1999_00-0004915","WR","receiver"
"118","1999_00-0001477","WR","receiver"
"119","1999_00-0001842","WR","receiver"
"120","1999_00-0017896","FB","rusher"
"121","1999_00-0006482","FB","rusher"
"122","1999_00-0001335","QB","passer"
"123","1999_00-0009471","QB","passer"
"124","1999_00-0015082","QB","passer"
"125","1999_00-0003557","QB","passer"
"126","1999_00-0001098","RB","rusher"
"127","1999_00-0000856","RB","rusher"
"128","1999_00-0014742","RB","rusher"
"129","1999_00-0002743","RB","rusher"
"130","1999_00-0004304","RB","rusher"
"131","1999_00-0000883","TE","receiver"
"132","1999_00-0010859","TE","receiver"
"133","1999_00-0002380","TE","receiver"
"134","1999_00-0012953","WR","receiver"
"135","1999_00-0018382","WR","receiver"
"136","1999_00-0014544","WR","receiver"
"137","1999_00-0006431","WR","receiver"
"138","1999_00-0007924","WR","receiver"
"139","1999_00-0008210","WR","receiver"
"140","1999_00-0014265","FB","rusher"
"141","1999_00-0004768","FB","rusher"
"142","1999_00-0010455","QB","passer"
"143","1999_00-0004230","QB","passer"
"144","1999_00-0003535","QB","passer"
"145","1999_00-0000003","RB","rusher"
"146","1999_00-0009288","RB","rusher"
"147","1999_00-0007447","RB","rusher"
"148","1999_00-0008751","RB","rusher"
"149","1999_00-0012522","TE","receiver"
"150","1999_00-0015195","TE","receiver"
"151","1999_00-0002586","TE","receiver"
"152","1999_00-0004112","TE","receiver"
"153","1999_00-0013176","WR","receiver"
"154","1999_00-0014790","WR","receiver"
"155","1999_00-0005932","WR","receiver"
"156","1999_00-0002942","WR","receiver"
"157","1999_00-0004071","WR","receiver"
"158","1999_00-0008560","WR","receiver"
"159","1999_00-0004633","WR","receiver"
"160","1999_00-0004634","WR","receiver"
"161","1999_00-0016316","FB","rusher"
"162","1999_00-0000104","QB","passer"
"163","1999_00-0013341","QB","passer"
"164","1999_00-0005794","QB","passer"
"165","1999_00-0015309","RB","rusher"
"166","1999_00-0017209","RB","rusher"
"167","1999_00-0009819","RB","rusher"
"168","1999_00-0017932","RB","rusher"
"169","1999_00-0015165","RB","rusher"
"170","1999_00-0002873","RB","rusher"
"171","1999_00-0008660","RB","rusher"
"172","1999_00-0001281","TE","receiver"
"173","1999_00-0018578","TE","receiver"
"174","1999_00-0009550","TE","receiver"
"175","1999_00-0010146","TE","receiver"
"176","1999_00-0003090","TE","receiver"
"177","1999_00-0011328","WR","receiver"
"178","1999_00-0015723","WR","receiver"
"179","1999_00-0016654","WR","receiver"
"180","1999_00-0012321","WR","receiver"
"181","1999_00-0010843","WR","receiver"
"182","1999_00-0010974","WR","receiver"
"183","1999_00-0006877","WR","receiver"
"184","1999_00-0008044","WR","receiver"
"185","1999_00-0008060","WR","receiver"
"186","1999_00-0001719","WR","receiver"
"187","1999_00-0006456","FB","rusher"
"188","1999_00-0011244","QB","passer"
"189","1999_00-0006423","QB","passer"
"190","1999_00-0001785","QB","passer"
"191","1999_00-0001810","QB","passer"
"192","1999_00-0000541","RB","rusher"
"193","1999_00-0010107","RB","rusher"
"194","1999_00-0010194","RB","rusher"
"195","1999_00-0015152","RB","rusher"
"196","1999_00-0005816","RB","rusher"
"197","1999_00-0004054","RB","rusher"
"198","1999_00-0014722","TE","receiver"
"199","1999_00-0002709","TE","receiver"
"200","1999_00-0002861","TE","receiver"
"201","1999_00-0003035","TE","receiver"
"202","1999_00-0015290","WR","receiver"
"203","1999_00-0010650","WR","receiver"
"204","1999_00-0010892","WR","receiver"
"205","1999_00-0011236","WR","receiver"
"206","1999_00-0003441","WR","receiver"
"207","1999_00-0004386","WR","receiver"
"208","1999_00-0014450","FB","rusher"
"209","1999_00-0000865","QB","passer"
"210","1999_00-0014384","QB","passer"
"211","1999_00-0005589","QB","passer"
"212","1999_00-0012370","RB","rusher"
"213","1999_00-0013498","RB","rusher"
"214","1999_00-0013785","RB","rusher"
"215","1999_00-0007436","RB","rusher"
"216","1999_00-0008046","RB","rusher"
"217","1999_00-0013422","TE","receiver"
"218","1999_00-0015048","TE","receiver"
"219","1999_00-0015161","TE","receiver"
"220","1999_00-0002985","TE","receiver"
"221","1999_00-0011568","WR","receiver"
"222","1999_00-0011727","WR","receiver"
"223","1999_00-0015507","WR","receiver"
"224","1999_00-0016811","WR","receiver"
"225","1999_00-0003700","WR","receiver"
"226","1999_00-0007798","WR","receiver"
"227","1999_00-0015362","FB","rusher"
"228","1999_00-0007254","FB","rusher"
"229","1999_00-0007091","QB","passer"
"230","1999_00-0005106","QB","passer"
"231","1999_00-0001823","QB","passer"
"232","1999_00-0011392","RB","rusher"
"233","1999_00-0012556","RB","rusher"
"234","1999_00-0009829","RB","rusher"
"235","1999_00-0014256","RB","rusher"
"236","1999_00-0016347","TE","receiver"
"237","1999_00-0002958","TE","receiver"
"238","1999_00-0006666","TE","receiver"
"239","1999_00-0004063","TE","receiver"
"240","1999_00-0000446","WR","receiver"
"241","1999_00-0014489","WR","receiver"
"242","1999_00-0006130","WR","receiver"
"243","1999_00-0008907","WR","receiver"
"244","1999_00-0004541","WR","receiver"
"245","1999_00-0005562","WR","receiver"
"246","1999_00-0001627","WR","receiver"
"247","1999_00-0014809","FB","rusher"
"248","1999_00-0017121","QB","passer"
"249","1999_00-0010346","QB","passer"
"250","1999_00-0007576","QB","passer"
"251","1999_00-0010827","RB","rusher"
"252","1999_00-0006380","RB","rusher"
"253","1999_00-0007647","RB","rusher"
"254","1999_00-0008241","RB","rusher"
"255","1999_00-0004824","RB","rusher"
"256","1999_00-0000727","TE","receiver"
"257","1999_00-0013080","TE","receiver"
"258","1999_00-0004294","TE","receiver"
"259","1999_00-0012637","WR","receiver"
"260","1999_00-0017697","WR","receiver"
"261","1999_00-0013040","WR","receiver"
"262","1999_00-0006322","WR","receiver"
"263","1999_00-0007024","WR","receiver"
"264","1999_00-0004088","WR","receiver"
"265","1999_00-0008763","WR","receiver"
"266","1999_00-0014775","FB","rusher"
"267","1999_00-0013338","QB","passer"
"268","1999_00-0005180","QB","passer"
"269","1999_00-0002110","QB","passer"
"270","1999_00-0000721","RB","rusher"
"271","1999_00-0015698","RB","rusher"
"272","1999_00-0016098","RB","rusher"
"273","1999_00-0010240","RB","rusher"
"274","1999_00-0007795","RB","rusher"
"275","1999_00-0001438","RB","rusher"
"276","1999_00-0006458","TE","receiver"
"277","1999_00-0008723","TE","receiver"
"278","1999_00-0001661","TE","receiver"
"279","1999_00-0000765","WR","receiver"
"280","1999_00-0017611","WR","receiver"
"281","1999_00-0010668","WR","receiver"
"282","1999_00-0015218","WR","receiver"
"283","1999_00-0008156","WR","receiver"
"284","1999_00-0013694","FB","rusher"
"285","1999_00-0011524","QB","passer"
"286","1999_00-0018589","QB","passer"
"287","1999_00-0006300","QB","passer"
"288","1999_00-0003315","QB","passer"
"289","1999_00-0001102","RB","rusher"
"290","1999_00-0000279","RB","rusher"
"291","1999_00-0011675","RB","rusher"
"292","1999_00-0014759","RB","rusher"
"293","1999_00-0003136","RB","rusher"
"294","1999_00-0008203","RB","rusher"
"295","1999_00-0006101","TE","receiver"
"296","1999_00-0008224","TE","receiver"
"297","1999_00-0008572","TE","receiver"
"298","1999_00-0000145","WR","receiver"
"299","1999_00-0012569","WR","receiver"
"300","1999_00-0016837","WR","receiver"
"301","1999_00-0010007","WR","receiver"
"302","1999_00-0013770","WR","receiver"
"303","1999_00-0007744","WR","receiver"
"304","1999_00-0009417","FB","rusher"
"305","1999_00-0010379","QB","passer"
"306","1999_00-0018518","QB","passer"
"307","1999_00-0007835","QB","passer"
"308","1999_00-0004546","QB","passer"
"309","1999_00-0000735","RB","rusher"
"310","1999_00-0013262","RB","rusher"
"311","1999_00-0003271","RB","rusher"
"312","1999_00-0004200","RB","rusher"
"313","1999_00-0008529","RB","rusher"
"314","1999_00-0004752","RB","rusher"
"315","1999_00-0012809","TE","receiver"
"316","1999_00-0006133","TE","receiver"
"317","1999_00-0004524","TE","receiver"
"318","1999_00-0019454","WR","receiver"
"319","1999_00-0016289","WR","receiver"
"320","1999_00-0010477","WR","receiver"
"321","1999_00-0014344","WR","receiver"
"322","1999_00-0010824","WR","receiver"
"323","1999_00-0010942","WR","receiver"
"324","1999_00-0014712","WR","receiver"
"325","1999_00-0005668","WR","receiver"
"326","1999_00-0006359","WR","receiver"
"327","1999_00-0008229","WR","receiver"
"328","1999_00-0004497","WR","receiver"
"329","1999_00-0009323","FB","rusher"
"330","1999_00-0005885","QB","passer"
"331","1999_00-0003739","QB","passer"
"332","1999_00-0003761","QB","passer"
"333","1999_00-0001545","QB","passer"
"334","1999_00-0011333","RB","rusher"
"335","1999_00-0011718","RB","rusher"
"336","1999_00-0015286","RB","rusher"
"337","1999_00-0012515","RB","rusher"
"338","1999_00-0017892","RB","rusher"
"339","1999_00-0007520","RB","rusher"
"340","1999_00-0006047","TE","receiver"
"341","1999_00-0003715","TE","receiver"
"342","1999_00-0008903","TE","receiver"
"343","1999_00-0011754","WR","receiver"
"344","1999_00-0011854","WR","receiver"
"345","1999_00-0017110","WR","receiver"
"346","1999_00-0013512","WR","receiver"
"347","1999_00-0002721","WR","receiver"
"348","1999_00-0007103","WR","receiver"
"349","1999_00-0002713","FB","rusher"
"350","1999_00-0001272","QB","passer"
"351","1999_00-0001361","QB","passer"
"352","1999_00-0005600","QB","passer"
"353","1999_00-0000232","RB","rusher"
"354","1999_00-0017218","RB","rusher"
"355","1999_00-0014733","RB","rusher"
"356","1999_00-0003736","RB","rusher"
"357","1999_00-0004774","RB","rusher"
"358","1999_00-0004871","RB","rusher"
"359","1999_00-0005091","RB","rusher"
"360","1999_00-0005348","RB","rusher"
"361","1999_00-0000849","TE","receiver"
"362","1999_00-0014211","TE","receiver"
"363","1999_00-0015153","TE","receiver"
"364","1999_00-0003142","TE","receiver"
"365","1999_00-0011641","WR","receiver"
"366","1999_00-0018062","WR","receiver"
"367","1999_00-0014918","WR","receiver"
"368","1999_00-0006043","WR","receiver"
"369","1999_00-0008313","WR","receiver"
"370","1999_00-0001783","WR","receiver"
"371","1999_00-0002068","WR","receiver"
"372","1999_00-0003610","FB","rusher"
"373","1999_00-0016534","QB","passer"
"374","1999_00-0018333","QB","passer"
"375","1999_00-0007530","QB","passer"
"376","1999_00-0004161","QB","passer"
"377","1999_00-0012832","RB","rusher"
"378","1999_00-0012946","RB","rusher"
"379","1999_00-0013173","RB","rusher"
"380","1999_00-0015242","RB","rusher"
"381","1999_00-0004060","RB","rusher"
"382","1999_00-0017662","TE","receiver"
"383","1999_00-0015053","TE","receiver"
"384","1999_00-0005732","TE","receiver"
"385","1999_00-0003103","TE","receiver"
"386","1999_00-0008637","TE","receiver"
"387","1999_00-0005073","TE","receiver"
"388","1999_00-0000969","WR","receiver"
"389","1999_00-0009163","WR","receiver"
"390","1999_00-0013097","WR","receiver"
"391","1999_00-0007093","WR","receiver"
"392","1999_00-0004079","WR","receiver"
"393","1999_00-0005355","WR","receiver"
"394","1999_00-0017337","FB","rusher"
"395","1999_00-0006212","QB","passer"
"396","1999_00-0002930","QB","passer"
"397","1999_00-0003292","QB","passer"
"398","1999_00-0001112","RB","rusher"
"399","1999_00-0000745","RB","rusher"
"400","1999_00-0011506","RB","rusher"
"401","1999_00-0013243","RB","rusher"
"402","1999_00-0003344","RB","rusher"
"403","1999_00-0008570","RB","rusher"
"404","1999_00-0001938","RB","rusher"
"405","1999_00-0011425","TE","receiver"
"406","1999_00-0016296","TE","receiver"
"407","1999_00-0002565","TE","receiver"
