,season,yearly_id,label,Position_order,lws_lastyear,ppr_lastyear,lw_lastyear,sv_lastyear,lw_ever.x,PA_SuccessRate,PA_HC_Change,PA_Team_Change,PA_Season_Skipped,PA_Team_Drafted,g30_lastyear,g25_lastyear,g20_lastyear,gT10_lastyear,adp_averagePick_placeholder,ecr_placeholder,experience,lws_2yrs_ago,ppr_2yrs_ago,lw_2yrs_ago,sv_2yrs_ago,lw_ever.y,PA_SuccessRate_lastyear,PA_HC_Change_lastyear,PA_Team_Change_lastyear,PA_Season_Skipped_lastyear,PA_Team_Drafted_lastyear,g30_lastyear_2yrs_ago,g25_lastyear_2yrs_ago,g20_lastyear_2yrs_ago,gT10_lastyear_2yrs_ago,adp_averagePick_lastyear,ecr_lastyear
1,2022,2022_Breece Hall,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2022,2022_Treylon Burks,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2022,2022_Garrett Wilson,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2022,2022_Drake London,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2022,2022_Kenneth Walker,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2022,2022_Isaiah Spiller,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2022,2022_Chris Olave,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2022,2022_Jameson Williams,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2022,2022_Kyren Williams,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2022,2022_David Bell,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
