"","gsis_id","full_name"
"1","00-0004241","Mike Devlin"
"2","00-0008595","Paris Johnson"
"3","00-0014128","Angel Rubio"
"4","00-0011764","Mike Moten"
"5","00-0008080","Chris Jacke"
"6","00-0014357","Patrick Sapp"
"7","00-0003869","Jerome Daniels"
"8","00-0004678","Ernest Dye"
"9","00-0007147","Jarius Hayes"
"10","00-0010762","Andy McCullough"
"11","00-0002010","Omar Brown"
"12","00-0007867","Ben Huff"
"13","00-0001267","Greg Bishop"
"14","00-0017796","Gene Williams"
"15","00-0014486","Adam Schreiber"
"16","00-0010430","Whit Marshall"
"17","00-0006728","Ruffin Hamilton"
"18","00-0013695","Wally Richardson"
"19","00-0012480","Ken Oxendine"
"20","00-0006803","Byron Hanspard"
"21","00-0013138","Jose Portilla"
"22","00-0006994","Ronnie Harris"
"23","00-0011613","Stevon Moore"
"24","00-0016355","Bennie Thompson"
"25","00-0012849","Tyrell Peters"
"26","00-0016931","Tony Vinson"
"27","00-0007017","Chris Harrison"
"28","00-0012317","A.J. Ofodile"
"29","00-0012971","Aaron Pierce"
"30","00-0013308","Lovett Purnell"
"31","00-0003310","Ryan Collins"
"32","00-0000422","Justin Armour"
"33","00-0010450","Manny Martin"
"34","00-0012820","Marlo Perry"
"35","00-0003748","Joe Cummings"
"36","00-0001681","Dan Brandenburg"
"37","00-0014820","Clay Shiver"
"38","00-0011811","Roderick Mullen"
"39","00-0017490","Leonard Wheeler"
"40","00-0010024","Steve Lofton"
"41","00-0014600","Mike Scurlock"
"42","00-0004746","Antonio Edwards"
"43","00-0016189","Rick Terry"
"44","00-0010572","Vili Maumau"
"45","00-0004321","Antonio Dingle"
"46","00-0012081","Nate Newton"
"47","00-0008383","Jerry Jensen"
"48","00-0008745","Ernest Jones"
"49","00-0016643","Esera Tuaolo"
"50","00-0006373","Kevin Greene"
"51","00-0001471","Steve Bono"
"52","00-0009599","Fred Lane"
"53","00-0002701","Rae Carruth"
"54","00-0012514","Dan Palmer"
"55","00-0000529","Ray Austin"
"56","00-0016085","Cordell Taylor"
"57","00-0001738","Dorian Brew"
"58","00-0000325","Ken Anderson"
"59","00-0007967","Greg Huntington"
"60","00-0006182","Brian Gowins"
"61","00-0008231","Jeff Jaeger"
"62","00-0001460","Chris Boniol"
"63","00-0010807","Ricardo McDonald"
"64","00-0004925","Craig Erickson"
"65","00-0001103","Edgar Bennett"
"66","00-0007472","Keno Hills"
"67","00-0016632","Greg Truitt"
"68","00-0001303","Roosevelt Blackmon"
"69","00-0011580","Kelvin Moore"
"70","00-0010531","Ric Mathias"
"71","00-0018310","Lawrence Wright"
"72","00-0013310","Andre Purvis"
"73","00-0003144","Tony Coats"
"74","00-0004180","Brian DeMarco"
"75","00-0012742","Doug Pelfrey"
"76","00-0015497","Jimmy Sprotte"
"77","00-0016680","Tom Tumulty"
"78","00-0012859","Ben Peterson"
"79","00-0003512","Brad Costello"
"80","00-0001752","Will Brice"
"81","00-0009471","Eric Kresser"
"82","00-0014742","Sedrick Shaw"
"83","00-0007924","James Hundon"
"84","00-0005405","Marlon Forbes"
"85","00-0010729","Hurvin McCormack"
"86","00-0008966","John Jurkovic"
"87","00-0004581","Bill Duff"
"88","00-0015469","Chris Spielman"
"89","00-0008751","George Jones"
"90","00-0012522","Randy Palmer"
"91","00-0015195","Irv Smith"
"92","00-0013176","Ronnie Powell"
"93","00-0004071","Zola Davis"
"94","00-0015238","Kevin Smith"
"95","00-0000072","Vashone Adams"
"96","00-0011451","Singor Mobley"
"97","00-0008992","Jason Kaiser"
"98","00-0017487","Kenny Wheaton"
"99","00-0004067","Wendell Davis"
"100","00-0004025","Nathan Davis"
"101","00-0009307","Mike Kiselak"
"102","00-0010917","Everett McIver"
"103","00-0002157","Chris Brymer"
"104","00-0003504","Quentin Coryatt"
"105","00-0015309","Tarik Smith"
