"","yearly_id","position"
"1","1999_00-0000003","RB"
"2","1999_00-0000007","RB"
"3","1999_00-0000104","QB"
"4","1999_00-0000145","WR"
"5","1999_00-0000166","TE"
"6","1999_00-0000172","WR"
"7","1999_00-0000210","RB"
"8","1999_00-0000232","RB"
"9","1999_00-0000242","TE"
"10","1999_00-0000251","FB"
"11","1999_00-0000279","RB"
"12","1999_00-0000316","RB"
"13","1999_00-0000339","FB"
"14","1999_00-0000387","WR"
"15","1999_00-0000409","RB"
"16","1999_00-0000422","WR"
"17","1999_00-0000446","WR"
"18","1999_00-0000466","TE"
"19","1999_00-0000541","RB"
"20","1999_00-0000552","RB"
"21","1999_00-0000598","WR"
"22","1999_00-0000627","WR"
"23","1999_00-0000721","RB"
"24","1999_00-0000722","QB"
"25","1999_00-0000727","TE"
"26","1999_00-0000735","RB"
"27","1999_00-0000745","RB"
"28","1999_00-0000765","WR"
"29","1999_00-0000785","QB"
"30","1999_00-0000849","TE"
"31","1999_00-0000856","RB"
"32","1999_00-0000865","QB"
"33","1999_00-0000869","WR"
"34","1999_00-0000871","RB"
"35","1999_00-0000872","WR"
"36","1999_00-0000883","TE"
"37","1999_00-0000911","TE"
"38","1999_00-0000942","FB"
"39","1999_00-0000969","WR"
"40","1999_00-0001027","TE"
"41","1999_00-0001098","RB"
"42","1999_00-0001102","RB"
"43","1999_00-0001103","RB"
"44","1999_00-0001112","RB"
"45","1999_00-0001215","RB"
"46","1999_00-0001218","QB"
"47","1999_00-0001224","RB"
"48","1999_00-0001233","RB"
"49","1999_00-0001255","TE"
"50","1999_00-0001268","TE"
"51","1999_00-0001272","QB"
"52","1999_00-0001281","TE"
"53","1999_00-0001317","WR"
"54","1999_00-0001335","QB"
"55","1999_00-0001361","QB"
"56","1999_00-0001438","RB"
"57","1999_00-0001470","QB"
"58","1999_00-0001471","QB"
"59","1999_00-0001477","WR"
"60","1999_00-0001525","RB"
"61","1999_00-0001532","WR"
"62","1999_00-0001545","QB"
"63","1999_00-0001573","RB"
"64","1999_00-0001582","WR"
"65","1999_00-0001627","WR"
"66","1999_00-0001641","TE"
"67","1999_00-0001661","TE"
"68","1999_00-0001719","WR"
"69","1999_00-0001766","TE"
"70","1999_00-0001783","WR"
"71","1999_00-0001785","QB"
"72","1999_00-0001810","QB"
"73","1999_00-0001823","QB"
"74","1999_00-0001842","WR"
"75","1999_00-0001862","TE"
"76","1999_00-0001907","QB"
"77","1999_00-0001919","TE"
"78","1999_00-0001938","RB"
"79","1999_00-0001986","TE"
"80","1999_00-0002005","WR"
"81","1999_00-0002027","FB"
"82","1999_00-0002058","WR"
"83","1999_00-0002068","WR"
"84","1999_00-0002099","WR"
"85","1999_00-0002102","TE"
"86","1999_00-0002110","QB"
"87","1999_00-0002159","RB"
"88","1999_00-0002266","WR"
"89","1999_00-0002380","TE"
"90","1999_00-0002459","RB"
"91","1999_00-0002469","WR"
"92","1999_00-0002544","WR"
"93","1999_00-0002565","TE"
