"","lw","season","player_id","label","lws_lastyear","ppr_lastyear","lw_lastyear","sv_lastyear","lw_ever","PA_SuccessRate","PA_HC_Change","PA_Team_Change","PA_Season_Skipped","PA_Team_Drafted","team_traded","g30_lastyear","g25_lastyear","g20_lastyear","gT10_lastyear","adp_averagePick","ecr","experience","pos_QB","pos_RB","pos_WR","pos_TE","lws_2yrs_ago","ppr_2yrs_ago","lw_2yrs_ago","sv_2yrs_ago","PA_SuccessRate_lastyear","PA_HC_Change_lastyear","PA_Team_Change_lastyear","PA_Season_Skipped_lastyear","PA_Team_Drafted_lastyear","team_traded_lastyear","g30_lastyear_2yrs_ago","g25_lastyear_2yrs_ago","g20_lastyear_2yrs_ago","gT10_2yrs_ago","adp_averagePick_lastyear","ecr_lastyear","full_name","League_Winner","Season_Valid","Games_Away","LWS","PPR","games30","games25","games20","gamesT10","position","LWP4_Ranking","EndofSeason_Rankings","graph_col_lw","LWS_rank","PPR_rank","g30_rank","g25_rank","g20_rank","gT10_rank","yearly_id","graph_col_pos","ecr_unranked","adp_undrafted","comparison_valid","yearly_rank","yearly_rank_per","med_mean_sqrt","compare_p2","lwp4_comp_rank","EOS_yearly","Position_order","zr_rankings_adjusted"
"1",0.983327805995941,2014,"00-0020531",1,34,357.68,1,0,1,1,0,0,0,0,0,5,6,8,10,24.21,25.97,13,1,0,0,0,25,345.58,1,0,1,1,0,0,0,0,0,6,9,10,23.41,21.88,"Drew Brees",1,1,0,20,303.98,1,4,6,8,"QB",1,289,"#03C04A",263,215,416,194,293,168,"2014_00-0020531","#FFC0CB",397.5,255.3,1,650,NA,NA,0,NA,NA,"1",650
"2",0.980946600437164,2020,"00-0033077",1,28,337.78,1,1,1,1,1,0,0,1,0,2,5,10,9,38.28,54.32,4,1,0,0,0,17,285.9,1,1,1,0,0,0,1,0,1,3,6,6,111.54,111.79,"Dak Prescott",1,0,0,13,135.64,2,3,3,3,"QB",2,691,"#03C04A",682,2634,171,350,1044,1150,"2020_00-0033077","#FFC0CB",392.5,312.14,1,650,NA,NA,0,NA,NA,"1",650
"3",0.975986838340759,2022,"00-0034857",0,36,378.72,1,1,1,1,0,0,0,0,0,4,7,11,10,31.71,20.18,4,1,0,0,0,39,396.06,1,1,1,0,0,0,0,0,6,9,9,9,26.91,41.5,"Josh Allen",0,0,3,0,0,0,0,0,0,"QB",3,11405,"#900D09",4083,11405,1215,2314,3747,3771,"2022_00-0034857","#FFC0CB",383,350,0,650,NA,NA,0,NA,NA,"1",650
"4",0.971522152423859,2021,"00-0033873",1,35,374.4,1,1,1,1,0,0,0,0,0,4,7,11,9,16.34,26.97,4,1,0,0,0,19,287.04,1,1,1,0,0,0,0,0,1,5,6,6,10.69,25.76,"Patrick Mahomes",1,1,0,30,335.46,3,4,10,10,"QB",4,83,"#03C04A",76,99,81,195,33,52,"2021_00-0033873","#FFC0CB",646,247.48,1,650,NA,NA,0,NA,NA,"1",650
"5",0.968042135238647,2017,"00-0023459",1,35,380.02,1,1,1,1,0,0,0,0,0,3,7,11,11,25.97,33.73,12,1,0,0,0,21,301.24,1,1,1,0,0,0,0,0,2,3,6,8,43.57,35.38,"Aaron Rodgers",1,0,0,9,129.6,0,0,4,5,"QB",5,924,"#03C04A",1102,2785,1216,2315,712,570,"2017_00-0023459","#FFC0CB",358.5,240.74,1,650,NA,NA,0,NA,NA,"1",650
"6",0.961645424365997,2012,"00-0019596",1,31,366.3,1,1,1,1,0,0,0,0,0,1,7,10,12,8.52,8.09,12,1,0,0,0,20,299,1,1,1,0,0,0,0,0,1,3,6,9,22.89,21.12,"Tom Brady",1,1,0,27,344.28,3,5,6,10,"QB",6,124,"#03C04A",115,81,82,101,294,53,"2012_00-0019596","#FFC0CB",210.2,223.48,1,650,NA,NA,0,NA,NA,"1",650
"7",0.960076153278351,2019,"00-0033537",1,31,331.7,1,1,1,1,0,0,0,0,0,3,5,10,10,38.06,50.1,2,1,0,0,0,19,168.86,1,0,1,0,0,0,0,0,3,3,5,5,40.52,64.64,"Deshaun Watson",1,1,0,26,320.98,2,7,7,8,"QB",7,138,"#03C04A",131,143,172,28,173,169,"2019_00-0033537","#FFC0CB",602,264.62,1,650,NA,NA,0,NA,NA,"1",650
"8",0.956914603710175,2013,"00-0027939",1,26,322.86,1,1,1,1,0,0,0,0,0,3,5,7,8,43.28,37.63,2,1,0,0,0,34,370.34,1,1,1,0,0,0,1,0,4,6,9,11,16.17,20.91,"Cam Newton",1,1,0,20,297.66,1,5,6,7,"QB",8,284,"#03C04A",264,240,417,102,295,256,"2013_00-0027939","#FFC0CB",239,230.91,1,650,NA,NA,0,NA,NA,"1",650
"9",0.956706881523132,2021,"00-0034857",1,39,396.06,1,1,1,1,0,0,0,0,0,6,9,9,9,26.91,41.5,3,1,0,0,0,17,288.56,1,1,1,0,0,0,0,0,1,2,6,7,70.13,78.42,"Josh Allen",1,1,0,36,378.72,4,7,11,10,"QB",9,31,"#03C04A",30,34,32,29,17,54,"2021_00-0034857","#FFC0CB",646,247.48,1,650,NA,NA,0,NA,NA,"1",650
"10",0.952135741710663,2016,"00-0029263",1,26,336.26,1,1,1,1,0,0,0,0,0,3,5,7,8,58.33,45.18,4,1,0,0,0,26,328.6,1,1,1,0,0,0,0,0,3,4,6,10,53.83,46.78,"Russell Wilson",1,1,0,18,270.06,1,4,6,6,"QB",10,377,"#03C04A",351,446,418,196,296,396,"2016_00-0029263","#FFC0CB",344,232.88,1,650,NA,NA,0,NA,NA,"1",650
"11",0.95180732011795,2019,"00-0033873",1,43,417.08,1,1,1,1,0,0,0,0,0,4,10,13,12,16.34,35.49,2,1,0,0,0,0,10.36,0,0,0,0,0,0,0,0,0,0,0,0,113.72,112.38,"Patrick Mahomes",1,1,0,19,287.04,1,5,6,6,"QB",11,332,"#03C04A",300,301,419,103,297,397,"2019_00-0033873","#FFC0CB",602,264.62,1,650,NA,NA,0,NA,NA,"1",650
"12",0.950778663158417,2020,"00-0034796",1,48,415.68,1,1,1,1,0,0,0,0,0,7,9,13,12,11.18,31.94,2,1,0,0,0,5,157.54,0,0,0,0,0,0,1,0,0,1,2,2,110.3,109.61,"Lamar Jackson",1,1,0,25,332.78,1,6,9,8,"QB",12,159,"#03C04A",147,108,420,53,69,170,"2020_00-0034796","#FFC0CB",392.5,312.14,1,650,NA,NA,0,NA,NA,"1",650
"13",0.949804842472076,2014,"00-0010346",1,42,409.98,1,1,1,1,0,0,0,0,0,5,9,11,12,15.57,21.31,16,1,0,0,0,21,310.96,1,1,1,0,0,0,1,0,0,1,9,11,36.77,33.02,"Peyton Manning",1,1,0,26,312.68,1,4,10,10,"QB",13,145,"#03C04A",132,170,421,197,34,55,"2014_00-0010346","#FFC0CB",397.5,255.3,1,650,NA,NA,0,NA,NA,"1",650
"14",0.948024690151215,2013,"00-0020531",1,25,345.58,1,0,1,1,1,0,0,0,0,0,6,9,10,23.41,21.88,12,1,0,0,0,41,391.64,1,1,1,1,0,0,0,0,4,8,12,13,9.65,10.09,"Drew Brees",1,0,0,34,357.68,5,6,8,10,"QB",14,44,"#03C04A",42,62,20,54,110,56,"2013_00-0020531","#FFC0CB",239,230.91,1,650,NA,NA,0,NA,NA,"1",650
"15",0.946141719818115,2012,"00-0020531",1,41,391.64,1,1,1,1,1,0,0,0,0,4,8,12,13,9.65,10.09,11,1,0,0,0,13,270.2,1,0,1,0,0,0,0,0,0,1,4,8,24.07,18.71,"Drew Brees",1,0,0,25,345.58,0,6,9,10,"QB",15,166,"#03C04A",148,78,1217,55,70,57,"2012_00-0020531","#FFC0CB",210.2,223.48,1,650,NA,NA,0,NA,NA,"1",650
"16",0.942747533321381,2012,"00-0027939",1,34,370.34,1,1,1,1,0,0,0,1,0,4,6,9,11,16.17,20.91,1,1,0,0,0,NA,NA,0,0,0,1,0,0,1,0,NA,NA,NA,NA,164.3,194.8,"Cam Newton",1,1,0,26,322.86,3,5,7,8,"QB",16,133,"#03C04A",133,137,83,104,174,171,"2012_00-0027939","#FFC0CB",210.2,223.48,1,650,NA,NA,0,NA,NA,"1",650
"17",0.938683688640594,2013,"00-0026498",1,17,276.58,1,1,1,1,0,0,0,0,0,1,2,5,8,64.62,55.24,4,1,0,0,0,27,343.32,1,1,1,0,0,0,0,0,2,5,9,9,17.82,17.96,"Matthew Stafford",1,1,0,14,278.9,0,2,6,6,"QB",17,675,"#03C04A",624,358,1218,616,298,398,"2013_00-0026498","#FFC0CB",239,230.91,1,650,NA,NA,0,NA,NA,"1",650
"18",0.930746495723724,2013,"00-0029665",1,29,317.5,1,1,1,1,0,0,0,0,0,3,5,8,10,67.93,61.17,1,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,85.23,95.61,"Robert Griffin",1,1,0,12,213.02,0,2,5,5,"QB",18,796,"#03C04A",765,1107,1219,617,473,571,"2013_00-0029665","#FFC0CB",239,230.91,1,650,NA,NA,0,NA,NA,"1",650
"19",0.930024266242981,2012,"00-0023459",1,42,397.42,1,1,1,1,0,0,0,0,0,4,6,14,14,3.74,5.04,7,1,0,0,0,29,304.48,1,1,1,0,0,0,0,0,2,6,8,11,10,9.18,"Aaron Rodgers",1,1,0,30,344.6,2,8,9,9,"QB",19,85,"#03C04A",77,80,173,18,71,104,"2012_00-0023459","#FFC0CB",210.2,223.48,1,650,NA,NA,0,NA,NA,"1",650
"20",0.929212391376495,2022,"00-0036355",0,29,353.34,1,1,1,1,0,0,0,0,0,4,5,8,8,46.57,48.63,2,1,0,0,0,28,332.84,1,1,1,1,0,0,1,0,2,5,10,9,55.15,77.26,"Justin Herbert",0,0,3,0,0,0,0,0,0,"QB",20,11406,"#900D09",4084,11406,1220,2316,3748,3772,"2022_00-0036355","#FFC0CB",383,350,0,650,NA,NA,0,NA,NA,"1",650
"21",0.923489153385162,2013,"00-0023459",1,30,344.6,1,1,1,1,0,0,0,0,0,2,8,9,9,20.63,22.35,8,1,0,0,0,42,397.42,1,1,1,0,0,0,0,0,4,6,14,14,3.74,5.04,"Aaron Rodgers",1,0,0,12,169.44,1,1,4,5,"QB",21,784,"#03C04A",766,1858,422,1099,713,572,"2013_00-0023459","#FFC0CB",239,230.91,1,650,NA,NA,0,NA,NA,"1",650
"22",0.923259854316711,2013,"00-0019596",1,27,344.28,1,1,1,1,0,0,0,0,0,3,5,6,10,47.1,43.7,13,1,0,0,0,31,366.3,1,1,1,0,0,0,0,0,1,7,10,12,8.52,8.09,"Tom Brady",1,1,0,15,251.52,1,1,6,6,"QB",22,603,"#03C04A",547,616,423,1100,299,399,"2013_00-0019596","#FFC0CB",239,230.91,1,650,NA,NA,0,NA,NA,"1",650
"23",0.920983731746674,2021,"00-0034796",1,25,332.78,1,1,1,1,0,0,0,0,0,1,6,9,8,36.13,55.55,3,1,0,0,0,48,415.68,1,1,1,0,0,0,0,0,7,9,13,12,11.18,31.94,"Lamar Jackson",1,1,0,17,239.98,3,3,4,4,"QB",23,410,"#03C04A",408,744,84,351,714,814,"2021_00-0034796","#FFC0CB",646,247.48,1,650,NA,NA,0,NA,NA,"1",650
"24",0.920799016952515,2020,"00-0033537",1,26,320.98,1,1,1,1,0,0,0,0,0,2,7,7,8,35.09,61.57,3,1,0,0,0,31,331.7,1,1,1,0,0,0,0,0,3,5,10,10,38.06,50.1,"Deshaun Watson",1,0,0,31,369.32,3,5,11,9,"QB",24,68,"#03C04A",64,48,85,105,18,105,"2020_00-0033537","#FFC0CB",392.5,312.14,1,650,NA,NA,0,NA,NA,"1",650
"25",0.91782283782959,2015,"00-0023459",1,29,354.14,1,1,1,1,0,0,0,0,0,1,6,10,11,24.47,23.94,10,1,0,0,0,12,169.44,1,0,1,0,0,0,0,0,1,1,4,5,22.06,25.59,"Aaron Rodgers",1,1,0,21,301.24,2,3,6,8,"QB",25,246,"#03C04A",229,228,174,352,300,172,"2015_00-0023459","#FFC0CB",396.5,235.56,1,650,NA,NA,0,NA,NA,"1",650
"26",0.913471877574921,2012,"00-0026498",1,27,343.32,1,1,1,1,0,0,0,0,0,2,5,9,9,17.82,17.96,3,1,0,0,0,4,50.5,0,0,0,0,0,0,0,0,0,0,2,2,80.97,77.12,"Matthew Stafford",1,1,0,17,276.58,1,2,5,8,"QB",26,455,"#03C04A",409,389,424,618,474,173,"2012_00-0026498","#FFC0CB",210.2,223.48,1,650,NA,NA,0,NA,NA,"1",650
"27",0.910329878330231,2019,"00-0026143",1,29,354.96,1,1,1,1,0,0,0,1,0,2,7,10,8,65.35,73.09,11,1,0,0,0,2,228.1,0,1,0,0,0,0,1,0,0,0,0,2,106.26,111.22,"Matt Ryan",1,1,0,16,267.34,2,2,4,6,"QB",27,502,"#03C04A",480,471,175,619,715,400,"2019_00-0026143","#FFC0CB",602,264.62,1,650,NA,NA,0,NA,NA,"1",650
"28",0.904915273189545,2018,"00-0033077",1,16,260.66,1,1,1,1,0,0,0,0,0,0,4,6,6,131.32,130.26,2,1,0,0,0,17,286.88,1,1,1,0,0,0,0,0,0,2,6,9,106.41,96.79,"Dak Prescott",1,1,0,17,285.9,1,3,6,6,"QB",28,442,"#03C04A",410,305,425,353,301,401,"2018_00-0033077","#FFC0CB",361.2,273.75,1,650,NA,NA,0,NA,NA,"1",650
"29",0.904493689537048,2017,"00-0020531",0,31,332.32,1,1,1,1,0,0,0,0,0,3,5,10,10,52.51,42.52,16,1,0,0,0,21,304.2,1,1,1,0,0,0,0,0,2,4,7,6,71.25,54.35,"Drew Brees",0,1,1,7,262.56,0,0,3,4,"QB",29,1468,"#FC6A03",1421,505,1221,2317,1045,815,"2017_00-0020531","#FFC0CB",358.5,240.74,1,650,NA,NA,0,NA,NA,"1",650
"30",0.903822898864746,2022,"00-0033873",0,30,335.46,1,1,1,1,0,0,0,0,0,3,4,10,10,45.29,49.58,5,1,0,0,0,35,374.4,1,1,1,0,0,0,0,0,4,7,11,9,16.34,26.97,"Patrick Mahomes",0,0,3,0,0,0,0,0,0,"QB",30,11407,"#900D09",4085,11407,1222,2318,3749,3773,"2022_00-0033873","#FFC0CB",383,350,0,650,NA,NA,0,NA,NA,"1",650
"31",0.900646388530731,2020,"00-0035228",1,15,285.28,1,1,1,1,0,0,0,1,0,0,4,6,5,45.99,63,1,1,0,0,0,NA,NA,0,0,0,1,0,0,1,0,NA,NA,NA,NA,106.22,109.91,"Kyler Murray",1,1,0,37,378.74,4,8,11,10,"QB",31,28,"#03C04A",27,33,33,19,19,58,"2020_00-0035228","#FFC0CB",392.5,312.14,1,650,NA,NA,0,NA,NA,"1",650
"32",0.8993279337883,2016,"00-0027939",1,35,389.08,1,1,1,1,0,0,0,0,0,5,7,9,9,34.89,35.36,5,1,0,0,0,15,248.98,1,1,1,0,0,0,0,0,2,2,3,6,86.85,83.87,"Cam Newton",1,1,0,13,254.26,0,2,6,5,"QB",32,752,"#03C04A",683,591,1223,620,302,573,"2016_00-0027939","#FFC0CB",344,232.88,1,650,NA,NA,0,NA,NA,"1",650
"33",0.897103250026703,2022,"00-0034796",0,17,239.98,1,1,1,1,0,0,0,0,0,3,3,4,4,56.71,55.15,4,1,0,0,0,25,332.78,1,1,1,0,0,0,0,0,1,6,9,8,36.13,55.55,"Lamar Jackson",0,0,3,0,0,0,0,0,0,"QB",33,11408,"#900D09",4086,11408,1224,2319,3750,3774,"2022_00-0034796","#FFC0CB",383,350,0,650,NA,NA,0,NA,NA,"1",650
"34",0.891660213470459,2014,"00-0029668",1,16,292.58,1,1,1,1,0,0,0,0,0,2,2,4,6,46.88,54.24,2,1,0,0,0,14,276.46,1,1,1,0,0,0,0,1,0,3,4,7,66.62,66.13,"Andrew Luck",1,1,0,34,351.74,3,6,10,12,"QB",34,53,"#03C04A",43,67,86,56,35,12,"2014_00-0029668","#FFC0CB",397.5,255.3,1,650,NA,NA,0,NA,NA,"1",650
"35",0.890650033950806,2020,"00-0032765",0,35,374.6,1,1,1,1,0,0,0,0,0,4,8,10,9,5.89,9.67,4,0,0,1,0,24,315.5,1,1,1,0,0,0,0,0,3,5,7,6,11.08,17.7,"Michael Thomas",0,0,3,0,83.9,0,0,0,0,"WR",35,4813,"#900D09",4087,4167,1225,2320,3751,3775,"2020_00-0032765","#03254C",392.5,312.14,0,1,0.175377071468648,5.70199964924587,0,3312,200,"3",1
"36",0.890283107757568,2019,"00-0032241",1,45,372.1,1,1,1,1,0,0,0,0,0,7,9,11,11,15.02,15.65,4,0,1,0,0,37,383.3,1,0,1,0,0,0,0,0,4,7,10,12,1.43,1.38,"Todd Gurley",1,1,0,10,219.4,0,1,4,5,"RB",36,883,"#03C04A",956,1011,1226,1101,716,574,"2019_00-0032241","#228C22",602,264.62,1,1,0.0794148334340264,12.5921059927771,1,5,27,"2",1
"37",0.890244364738464,2018,"00-0019596",1,21,295.88,1,1,1,1,0,0,0,0,0,2,3,6,8,51.89,54.54,18,1,0,0,0,22,258.56,1,1,1,0,0,0,0,0,1,6,7,7,37.99,37.32,"Tom Brady",1,1,0,14,281.3,0,3,6,5,"QB",37,666,"#03C04A",625,340,1227,354,303,575,"2018_00-0019596","#FFC0CB",361.2,273.75,1,650,NA,NA,0,NA,NA,"1",650
"38",0.882218778133392,2019,"00-0032144",0,27,275.5,1,1,1,1,0,0,0,0,0,3,5,8,8,32.24,63.75,4,0,1,0,0,21,288.1,1,1,1,0,0,0,0,0,2,3,6,8,12.5,9.45,"Melvin Gordon",0,1,1,9,180.8,0,1,4,4,"RB",38,1250,"#FC6A03",1103,1648,1228,1102,717,816,"2019_00-0032144","#228C22",602,264.62,1,2,0.0616314275989957,32.4509763592202,1,3,50,"2",21
"39",0.881441116333008,2014,"00-0026498",1,14,278.9,1,1,1,1,1,0,0,0,0,0,2,6,6,48.76,49.31,5,1,0,0,0,17,276.58,1,1,1,0,0,0,0,0,1,2,5,8,64.62,55.24,"Matthew Stafford",1,1,0,15,251.58,1,2,5,6,"QB",39,593,"#03C04A",548,615,426,621,475,402,"2014_00-0026498","#FFC0CB",397.5,255.3,1,650,NA,NA,0,NA,NA,"1",650
"40",0.873183906078339,2018,"00-0029263",1,32,347.92,1,1,1,1,0,0,0,0,1,3,5,10,11,48.03,53.17,6,1,0,0,0,18,270.06,1,1,1,0,0,0,0,0,1,4,6,6,70.47,56.52,"Russell Wilson",1,1,0,17,299.42,0,2,7,8,"QB",40,471,"#03C04A",411,234,1229,622,175,174,"2018_00-0029263","#FFC0CB",361.2,273.75,1,650,NA,NA,0,NA,NA,"1",650
"41",0.872114539146423,2021,"00-0031381",1,34,358.4,1,1,1,1,0,0,0,1,1,6,6,8,8,9.42,10.96,7,0,0,1,0,9,212.7,1,0,1,0,0,0,0,0,0,1,5,3,12.5,12.23,"Davante Adams",1,1,0,31,332.8,6,6,7,6,"WR",41,64,"#03C04A",65,107,10,57,176,403,"2021_00-0031381","#03254C",646,247.48,1,1,0.12204818505489,8.19348521692692,1,8,2,"3",2
"42",0.870203256607056,2022,"00-0035228",0,26,282.68,1,1,1,1,0,0,0,0,0,3,4,8,8,63.29,67.7,3,1,0,0,0,37,378.74,1,1,1,0,0,0,0,0,4,8,11,10,35.77,49.93,"Kyler Murray",0,0,3,0,0,0,0,0,0,"QB",42,11409,"#900D09",4088,11409,1230,2321,3752,3776,"2022_00-0035228","#FFC0CB",383,350,0,650,NA,NA,0,NA,NA,"1",650
"43",0.869958341121674,2015,"00-0026184",1,31,346.6,1,1,1,1,1,0,0,0,0,3,5,10,10,14.5,15.04,7,0,1,0,0,27,337.3,1,1,1,0,0,0,0,0,3,4,8,9,5.45,4.84,"Matt Forte",1,1,0,12,214.7,0,1,5,6,"RB",43,813,"#03C04A",767,1086,1231,1103,476,404,"2015_00-0026184","#228C22",396.5,235.56,1,1,0.0823080115562498,12.149485585818,1,6,24,"2",1
