"","lw","season","yearly_id","label","Position_order","lws_lastyear","ppr_lastyear","lw_lastyear","sv_lastyear","lw_ever","PA_SuccessRate","PA_HC_Change","PA_Team_Change","PA_Season_Skipped","PA_Team_Drafted","g30_lastyear","g25_lastyear","g20_lastyear","gT10_lastyear","adp_averagePick","ecr","experience","lws_2yrs_ago","ppr_2yrs_ago","lw_2yrs_ago","sv_2yrs_ago","PA_SuccessRate_lastyear","PA_HC_Change_lastyear","PA_Team_Change_lastyear","PA_Season_Skipped_lastyear","PA_Team_Drafted_lastyear","g30_lastyear_2yrs_ago","g25_lastyear_2yrs_ago","g20_lastyear_2yrs_ago","gT10_2yrs_ago","adp_averagePick_lastyear","ecr_lastyear","player_id","full_name","League_Winner","Season_Valid","Games_Away","LWS","PPR","games30","games25","games20","gamesT10","position","LWP4_Ranking","EndofSeason_Rankings","graph_col_lw"
"1",0.968599379062653,2013,"2013_00-0029665",1,1,29,317.5,1,1,1,1,0,0,0,0,3,5,8,10,67.93,61.1,1,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,85.23,95.16,"00-0029665","Robert Griffin",1,1,0,12,213.02,0,2,5,5,"QB",1,796,"#03C04A"
"2",0.960666179656982,2022,"2022_00-0034857",0,1,36,378.72,1,1,1,1,0,0,0,0,4,7,11,10,24.8,19,4,39,396.06,1,1,1,0,0,0,0,6,9,9,9,26.91,41.29,"00-0034857","Josh Allen",0,0,3,3,0,0,0,0,0,"QB",2,2923,"#900D09"
"3",0.957330763339996,2020,"2020_00-0035228",1,1,15,285.28,1,1,1,1,0,0,0,0,0,4,6,5,45.99,62.98,1,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,106.22,109.99,"00-0035228","Kyler Murray",1,1,0,37,378.74,4,8,11,10,"QB",3,28,"#03C04A"
"4",0.956020951271057,2012,"2012_00-0027939",1,1,34,370.34,1,1,1,1,0,0,0,0,4,6,9,11,16.17,20.93,1,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,164.3,194.8,"00-0027939","Cam Newton",1,1,0,26,322.86,3,5,7,8,"QB",4,133,"#03C04A"
"5",0.945415556430817,2016,"2016_00-0029263",1,1,26,336.26,1,1,1,1,0,0,0,0,3,5,7,8,58.33,45.26,4,26,328.6,1,1,1,0,0,0,0,3,4,6,10,53.83,46.78,"00-0029263","Russell Wilson",1,1,0,18,270.06,1,4,6,6,"QB",5,377,"#03C04A"
"6",0.944234132766724,2013,"2013_00-0029668",1,1,14,276.46,1,1,1,1,0,0,0,0,0,3,4,7,66.62,66.16,1,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,113.1,120.22,"00-0029668","Andrew Luck",1,1,0,16,292.58,2,2,4,6,"QB",6,501,"#03C04A"
"7",0.941973149776459,2017,"2017_00-0029263",1,1,18,270.06,1,1,1,1,0,0,0,0,1,4,6,6,70.47,56.63,5,26,336.26,1,1,1,0,0,0,0,3,5,7,8,58.33,45.26,"00-0029263","Russell Wilson",1,1,0,32,347.92,3,5,10,11,"QB",7,63,"#03C04A"
"8",0.941947519779205,2022,"2022_00-0036355",0,1,29,353.34,1,1,1,1,0,0,0,0,4,5,8,8,44.5,54.71,2,28,332.84,1,1,1,1,0,0,0,2,5,10,9,55.15,77.13,"00-0036355","Justin Herbert",0,0,3,3,0,0,0,0,0,"QB",8,2924,"#900D09"
"9",0.941312074661255,2021,"2021_00-0033873",1,1,35,374.4,1,1,1,1,0,0,0,0,4,7,11,9,16.34,26.83,4,19,287.04,1,1,1,0,0,0,0,1,5,6,6,10.69,25.85,"00-0033873","Patrick Mahomes",1,1,0,30,335.46,3,4,10,10,"QB",9,83,"#03C04A"
"10",0.938169956207275,2022,"2022_00-0035228",0,1,26,282.68,1,1,1,1,0,0,0,0,3,4,8,8,58.8,58.29,3,37,378.74,1,1,1,0,0,0,0,4,8,11,10,35.77,50.07,"00-0035228","Kyler Murray",0,0,3,3,0,0,0,0,0,"QB",10,2925,"#900D09"
"11",0.937011420726776,2012,"2012_00-0023459",1,1,42,397.42,1,1,1,1,0,0,0,0,4,6,14,14,3.74,5.04,7,29,304.48,1,1,1,0,0,0,0,2,6,8,11,10,9.18,"00-0023459","Aaron Rodgers",1,1,0,30,344.6,2,8,9,9,"QB",11,85,"#03C04A"
"12",0.936010539531708,2021,"2021_00-0036355",1,1,28,332.84,1,1,1,1,1,0,0,0,2,5,10,9,55.15,77.13,1,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,136.12,314.14,"00-0036355","Justin Herbert",1,1,0,29,353.34,4,5,8,8,"QB",12,89,"#03C04A"
"13",0.932467401027679,2020,"2020_00-0033537",1,1,26,320.98,1,1,1,1,0,0,0,0,2,7,7,8,35.09,61.6,3,31,331.7,1,1,1,0,0,0,0,3,5,10,10,38.06,50.07,"00-0033537","Deshaun Watson",1,0,0,31,369.32,3,5,11,9,"QB",13,68,"#03C04A"
"14",0.930868983268738,2014,"2014_00-0020531",1,1,34,357.68,1,0,1,1,0,0,0,0,5,6,8,10,24.21,25.95,13,25,345.58,1,0,1,1,0,0,0,0,6,9,10,23.41,21.98,"00-0020531","Drew Brees",1,1,0,20,303.98,1,4,6,8,"QB",14,289,"#03C04A"
"15",0.92851185798645,2013,"2013_00-0029263",1,1,20,275.62,1,1,1,1,0,0,0,0,1,3,7,8,75.27,68.72,1,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,158.81,150.75,"00-0029263","Russell Wilson",1,1,0,13,270.18,0,1,6,6,"QB",15,759,"#03C04A"
"16",0.92738664150238,2018,"2018_00-0033537",1,1,19,168.86,1,0,1,1,0,0,0,0,3,3,5,5,40.52,64.71,1,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,181.48,226.56,"00-0033537","Deshaun Watson",1,1,0,31,331.7,3,5,10,10,"QB",16,71,"#03C04A"
