,yearly_id,full_name,position,lw,lw_June_01,difference,lw_edit,ZR_Rankings_Manual,ZR_manual_boost
19,2022_00-0036223,Jonathan Taylor,RB,61.1,61.1,0,61.1,1,
47,2022_00-0033280,Christian McCaffrey,RB,35.5,35.5,0,35.5,2,
40,2022_00-0032764,Derrick Henry,RB,38.2,43.6,5.4,43.6,3,
8,2022_00-0034791,Nick Chubb,RB,82.6,84.8,2.2,84.8,4,
11,2022_00-0033856,Leonard Fournette,RB,73,69.7,-3.3,69.7,5,
15,2022_00-0033906,Alvin Kamara,RB,67,67,0,67,6,
20,2022_00-0036893,Najee Harris,RB,60.7,66.7,6,66.7,7,
18,2022_00-0036275,D'Andre Swift,RB,64,64,0,64,8,
21,2022_00-0033897,Joe Mixon,RB,59.7,59.7,0,59.7,9,
24,2022_00-0033893,Dalvin Cook,RB,56.7,56.7,0,56.7,10,
22,2022_00-0033553,James Conner,RB,59.2,57.9,-1.3,57.9,11,
26,2022_00-0033293,Aaron Jones,RB,50.1,43.2,-6.9,48.2,12,5
28,2022_00-0033699,Austin Ekeler,RB,48.5,48.5,0,48.5,13,
9,2022_00-0033908,Cooper Kupp,WR,80.4,83.8,3.4,83.8,14,
14,2022_00-0031381,Davante Adams,WR,67.3,67.3,0,67.3,15,
17,2022_00-0033040,Tyreek Hill,WR,65.1,67.2,2.1,67.2,16,
25,2022_00-0036900,Ja'Marr Chase,WR,51.2,51.2,0,51.2,17,
59,2022_00-0030506,Travis Kelce,TE,26.2,26.2,0,31.2,18,5
56,2022_00-0036322,Justin Jefferson,WR,28.4,28.4,0,28.4,19,
48,2022_00-0034753,Mark Andrews,TE,34.4,34.4,0,39.4,20,5
27,2022_00-0036410,Tee Higgins,WR,49.5,53.9,4.4,53.9,21,
29,2022_00-0031408,Mike Evans,WR,47.1,43.8,-3.3,43.8,22,
32,2022_00-0035719,Deebo Samuel,WR,45.1,49.1,4,49.1,23,
42,2022_00-0031588,Stefon Diggs,WR,37.4,35.7,-1.7,35.7,24,
30,2022_00-0035700,Josh Jacobs,RB,47,45.1,-1.9,45.1,25,
34,2022_00-0036613,Jaylen Waddle,WR,42.5,42.5,0,42.5,26,
33,2022_00-0033536,Mike Williams,WR,43,43,0,43,27,
51,2022_00-0036358,CeeDee Lamb,WR,32.4,32.4,0,37.4,28,5
43,2022_00-0035676,A.J. Brown,WR,37.4,33.3,-4.1,33.3,29,
44,2022_00-0035640,DK Metcalf,WR,36.6,36.6,0,36.6,30,
38,2022_00-0035216,Diontae Johnson,WR,39.2,39.2,0,39.2,31,
35,2022_00-0036328,Antonio Gibson,RB,41.9,41.9,0,36.9,32,-5
65,2022_00-0036970,Kyle Pitts,TE,24.2,23.3,-0.9,28.3,33,5
58,2022_00-0036997,Javonte Williams,RB,26.5,28.4,1.9,28.4,34,
46,2022_00-0034844,Saquon Barkley,RB,35.7,31.9,-3.8,31.9,35,
66,2022_00-0031610,Darren Waller,TE,24,24,0,24,36,
54,2022_00-0033045,Ezekiel Elliott,RB,30.9,30.9,0,30.9,37,
60,2022_00-0033921,Chris Godwin,WR,25.8,32.3,6.5,27.3,38,-5
62,2022_00-0035659,Terry McLaurin,WR,24.8,26.9,2.1,26.9,39,
55,2022_00-0036252,Michael Pittman,WR,30.7,30.7,0,30.7,40,
57,2022_00-0034827,DJ Moore,WR,27.9,27.9,0,27.9,41,
74,2022_00-0030279,Keenan Allen,WR,16.5,20.8,4.3,20.8,42,
63,2022_00-0036963,Amon-Ra St. Brown,WR,24.8,23.1,-1.7,23.1,43,
76,2022_00-0035685,David Montgomery,RB,15.2,19.6,4.4,19.6,44,
61,2022_00-0036265,AJ Dillon,RB,25,21,-4,21,45,
52,2022_00-0035831,James Robinson,RB,32.2,36.9,4.7,26.9,46,-10
72,2022_00-0036912,DeVonta Smith,WR,17.9,15.5,-2.4,15.5,47,
73,2022_00-0036567,Elijah Mitchell,RB,17.5,17.5,0,17.5,48,
83,2022_00-0036407,Jerry Jeudy,WR,13,11.4,-1.6,16.4,49,5
86,2022_00-0036980,Elijah Moore,WR,12.3,13.5,1.2,13.5,50,
71,2022_00-0034764,Michael Gallup,WR,18.3,18.3,0,18.3,51,
64,2022_00-0036913,Kadarius Toney,WR,24.6,28.3,3.7,18.3,52,-10
85,2022_00-0031236,Brandin Cooks,WR,12.4,9.4,-3,9.4,53,
87,2022_00-0034348,Courtland Sutton,WR,12.2,15.6,3.4,15.6,54,
96,2022_00-0033288,George Kittle,TE,10.2,10.2,0,10.2,55,
89,2022_Breece Hall,Breece Hall,RB,11.6,8.8,-2.8,8.8,56,
91,2022_00-0036158,J.K. Dobbins,RB,10.5,10.5,0,10.5,57,
138,2022_Kenneth Walker,Kenneth Walker,RB,4.4,4.6,0.2,9.6,58,5
79,2022_00-0035243,Miles Sanders,RB,14.5,14.5,0,14.5,59,
78,2022_00-0033923,Kareem Hunt,RB,15.1,15.2,0.1,15.2,60,
94,2022_00-0031544,Amari Cooper,WR,10.3,10.3,0,10.3,61,
88,2022_00-0032765,Michael Thomas,WR,11.7,11.7,0,11.7,62,
99,2022_Drake London,Drake London,WR,9.4,6.5,-2.9,6.5,63,
98,2022_Garrett Wilson,Garrett Wilson,WR,9.8,10.5,0.7,10.5,64,
92,2022_Treylon Burks,Treylon Burks,WR,10.5,5.8,-4.7,5.8,65,
77,2022_00-0030564,DeAndre Hopkins,WR,15.2,14.7,-0.5,9.7,66,-5
111,2022_00-0036309,Darnell Mooney,WR,6.9,8.5,1.6,13.5,67,5
